id,make,model,trim,model_year,available_from_year,available_to_year,uk_market_status,body_style,segment,powertrain,fuel_type,purchase_price_gbp,efficiency_value,efficiency_unit,battery_kwh,tailpipe_gco2_per_km,manufacturing_gco2e_kg,annual_maintenance_gbp,insurance_group,depreciation_3yr_pct,source_note
toyota-yaris-cross-hybrid,Toyota,Yaris Cross,1.5 Hybrid Design,2024,2021,2026,current,crossover,supermini,Petrol Hybrid,petrol,26000,4.4,litres_per_100km,0.8,100,5900,450,16,0.38,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
toyota-aygo-x-edge,Toyota,Aygo X,1.0 VVT-i Edge,2024,2022,2026,current,hatchback,city-car,Petrol,petrol,17000,4.7,litres_per_100km,0,108,4800,380,8,0.41,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mazda-mx-30-r-ev,Mazda,MX-30,R-EV Makoto,2024,2023,2026,current,crossover,crossover,EV,electric,35500,17.5,kwh_per_100km,17.8,0,7200,470,26,0.52,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mazda-cx-5-skyactiv-g,Mazda,CX-5,2.0 e-Skyactiv G Centre-Line,2024,2017,2026,current,suv,crossover,Petrol,petrol,30900,6.7,litres_per_100km,0,152,7100,540,23,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mazda-cx-30-skyactiv-g,Mazda,CX-30,2.0 e-Skyactiv X Homura,2024,2019,2026,current,crossover,crossover,Petrol,petrol,30000,5.6,litres_per_100km,0,128,6500,510,20,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mazda-mx-5-exclusive-line,Mazda,MX-5,1.5 Exclusive-Line,2024,2016,2026,current,convertible,sports,Petrol,petrol,28335,6.2,litres_per_100km,0,142,5900,520,26,0.4,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
suzuki-swift-mhev,Suzuki,Swift,1.2 MHEV Motion,2024,2017,2026,current,hatchback,supermini,Petrol Hybrid,petrol,18700,4.4,litres_per_100km,0.5,100,4500,360,11,0.4,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
suzuki-vitara-hybrid,Suzuki,Vitara,1.5 Full Hybrid Ultra,2024,2022,2026,current,crossover,crossover,Petrol Hybrid,petrol,27200,5.2,litres_per_100km,0.84,118,5800,460,17,0.43,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mg-zs-ev-trophy,MG,ZS EV,Trophy Long Range,2024,2019,2026,current,suv,crossover,EV,electric,32495,17.1,kwh_per_100km,72.6,0,9800,320,27,0.45,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mg-mg5-ev-trophy,MG,MG5 EV,Trophy Long Range,2024,2020,2025,current,estate,family,EV,electric,30995,17.5,kwh_per_100km,61.1,0,9200,320,25,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mg-cyberster-trophy,MG,Cyberster,Trophy,2024,2024,2026,current,convertible,sports,EV,electric,54995,18.5,kwh_per_100km,64,0,11200,470,42,0.48,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mg-mg3-hybrid-plus,MG,MG3,Hybrid+ Trophy,2024,2024,2026,current,hatchback,supermini,Petrol Hybrid,petrol,18495,4.4,litres_per_100km,1.83,100,5300,360,14,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
ford-mustang-mach-e-extended,Ford,Mustang Mach-E,Extended Range RWD,2024,2021,2026,current,suv,crossover,EV,electric,56830,18,kwh_per_100km,91,0,12300,410,45,0.5,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
ford-explorer-ev-extended,Ford,Explorer,Extended Range RWD,2024,2024,2026,current,suv,crossover,EV,electric,49975,17.6,kwh_per_100km,77,0,11400,400,36,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
ford-puma-st-line,Ford,Puma,1.0 EcoBoost Hybrid ST-Line,2024,2019,2026,current,crossover,supermini,Petrol,petrol,27600,5.5,litres_per_100km,0,124,5800,480,16,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
ford-kuga-phev-st-line,Ford,Kuga,2.5 PHEV ST-Line,2024,2020,2026,current,suv,crossover,Petrol Hybrid,petrol,41100,1.4,litres_per_100km,14.4,32,7900,600,27,0.45,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
vauxhall-mokka-electric-gs,Vauxhall,Mokka Electric,GS,2024,2021,2026,current,crossover,supermini,EV,electric,32500,16.4,kwh_per_100km,54,0,9000,320,26,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
vauxhall-astra-electric,Vauxhall,Astra Electric,GS,2024,2023,2026,current,hatchback,hatchback,EV,electric,36400,16,kwh_per_100km,54,0,9100,340,28,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
vauxhall-grandland-electric,Vauxhall,Grandland Electric,Design,2024,2024,2026,current,suv,crossover,EV,electric,40995,17.6,kwh_per_100km,73,0,10500,360,30,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
vauxhall-astra-tgdi,Vauxhall,Astra,1.2 Turbo GS,2024,2021,2026,current,hatchback,hatchback,Petrol,petrol,27600,5.6,litres_per_100km,0,128,5900,470,17,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
peugeot-e-2008-allure,Peugeot,e-2008,Allure,2024,2020,2026,current,crossover,supermini,EV,electric,36880,16.4,kwh_per_100km,54,0,9100,320,28,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
peugeot-e-3008-allure,Peugeot,e-3008,Allure,2024,2024,2026,current,suv,crossover,EV,electric,45850,17.4,kwh_per_100km,73,0,10800,360,32,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
peugeot-e-308-gt,Peugeot,e-308,GT,2024,2023,2026,current,hatchback,hatchback,EV,electric,40050,15.4,kwh_per_100km,54,0,8900,340,28,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
peugeot-3008-puretech,Peugeot,3008,1.2 PureTech Allure,2024,2017,2026,current,suv,crossover,Petrol,petrol,36900,6,litres_per_100km,0,137,6800,540,22,0.43,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
citroen-e-c4-shine,Citroen,e-C4,Shine,2024,2021,2026,current,crossover,hatchback,EV,electric,31515,16,kwh_per_100km,50,0,8800,320,24,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
citroen-e-berlingo-flair,Citroen,e-Berlingo,Flair,2024,2022,2026,current,mpv,family,EV,electric,32195,17.4,kwh_per_100km,50,0,9000,350,25,0.48,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
citroen-c3-puretech-max,Citroen,C3,1.2 PureTech Max,2024,2017,2026,current,hatchback,supermini,Petrol,petrol,18500,5.5,litres_per_100km,0,125,4900,420,11,0.41,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
ds-3-e-tense-rivoli,DS Automobiles,DS 3,E-Tense Rivoli,2024,2019,2026,current,crossover,supermini,EV,electric,39400,15.7,kwh_per_100km,54,0,8700,360,28,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
renault-megane-e-tech-techno,Renault,Megane E-Tech,EV60 Techno,2024,2022,2026,current,crossover,hatchback,EV,electric,36995,16.1,kwh_per_100km,60,0,9300,350,27,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
renault-scenic-e-tech-techno,Renault,Scenic E-Tech,Long Range Techno,2024,2024,2026,current,suv,crossover,EV,electric,42995,16.3,kwh_per_100km,87,0,11000,380,30,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
renault-5-e-tech-techno,Renault,5 E-Tech,Techno 52kWh,2024,2024,2026,current,hatchback,supermini,EV,electric,26995,14.9,kwh_per_100km,52,0,8400,310,22,0.45,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
renault-captur-tce-techno,Renault,Captur,TCe 90 Techno,2024,2019,2026,current,crossover,supermini,Petrol,petrol,25800,5.8,litres_per_100km,0,132,5800,480,14,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
renault-austral-e-tech-techno,Renault,Austral,E-Tech Full Hybrid Techno,2024,2023,2026,current,suv,crossover,Petrol Hybrid,petrol,36995,4.6,litres_per_100km,2,105,6900,540,23,0.41,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
dacia-spring-extreme,Dacia,Spring,Extreme,2024,2024,2026,current,hatchback,city-car,EV,electric,16995,13.2,kwh_per_100km,26.8,0,5800,280,8,0.5,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
dacia-duster-tce-journey,Dacia,Duster,TCe 130 Journey,2024,2018,2026,current,suv,crossover,Petrol,petrol,22745,6.4,litres_per_100km,0,145,5800,480,18,0.4,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
dacia-jogger-hybrid,Dacia,Jogger,Hybrid 140 Extreme,2024,2022,2026,current,estate,family,Petrol Hybrid,petrol,22995,4.9,litres_per_100km,1.2,112,6000,460,18,0.4,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
fiat-600e-red,Fiat,600e,RED,2024,2024,2026,current,crossover,supermini,EV,electric,32995,15.5,kwh_per_100km,54,0,8800,320,24,0.47,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
fiat-500-hybrid,Fiat,500,1.0 Hybrid Top,2024,2020,2026,current,hatchback,city-car,Petrol,petrol,17000,5,litres_per_100km,0,113,4500,380,9,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
seat-ibiza-tsi-fr,SEAT,Ibiza,1.0 TSI FR,2024,2017,2026,current,hatchback,supermini,Petrol,petrol,21000,5.4,litres_per_100km,0,122,5100,440,15,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
seat-arona-tsi-fr,SEAT,Arona,1.0 TSI FR,2024,2017,2026,current,crossover,supermini,Petrol,petrol,24500,5.7,litres_per_100km,0,130,5500,470,17,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
cupra-tavascan-vz,Cupra,Tavascan,VZ,2024,2024,2026,current,suv-coupe,crossover,EV,electric,53715,17.3,kwh_per_100km,77,0,11400,410,38,0.47,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
skoda-scala-tsi,Skoda,Scala,1.0 TSI SE Technology,2024,2019,2026,current,hatchback,hatchback,Petrol,petrol,24400,5.4,litres_per_100km,0,122,5500,470,14,0.41,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
skoda-karoq-tsi-se-l,Skoda,Karoq,1.5 TSI SE L,2024,2018,2026,current,suv,crossover,Petrol,petrol,32100,6,litres_per_100km,0,137,6700,540,19,0.41,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
skoda-kodiaq-tsi,Skoda,Kodiaq,1.5 TSI SE L,2024,2017,2026,current,suv,family,Petrol,petrol,38000,6.5,litres_per_100km,0,148,7700,590,22,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
skoda-superb-tsi-se-l,Skoda,Superb,1.5 TSI SE L Estate,2024,2016,2026,current,estate,executive,Petrol,petrol,38500,5.9,litres_per_100km,0,134,7400,580,24,0.43,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
volvo-ex30-plus,Volvo,EX30,Plus Single Motor,2024,2024,2026,current,crossover,supermini,EV,electric,36995,15.4,kwh_per_100km,69,0,9700,360,30,0.45,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
volvo-ex40-recharge,Volvo,EX40,Recharge Plus Single Motor,2024,2020,2026,current,suv,crossover,EV,electric,50295,17.2,kwh_per_100km,78,0,11400,410,36,0.47,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
volvo-ex90-twin,Volvo,EX90,Twin Motor Plus,2024,2024,2026,current,suv,luxury-suv,EV,electric,96255,21,kwh_per_100km,111,0,14600,580,50,0.5,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
volvo-xc60-b5-plus,Volvo,XC60,B5 Plus,2024,2017,2026,current,suv,crossover,Petrol,petrol,50000,7.6,litres_per_100km,0,173,8700,720,35,0.45,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
volvo-xc90-recharge-t8,Volvo,XC90,T8 Recharge Plus,2024,2020,2026,current,suv,luxury-suv,Petrol Hybrid,petrol,78000,1.4,litres_per_100km,18.8,32,13000,800,45,0.47,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
hyundai-ioniq-6-premium,Hyundai,Ioniq 6,Premium RWD,2024,2023,2026,current,saloon,compact-executive,EV,electric,47040,14.3,kwh_per_100km,77.4,0,11000,390,36,0.47,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
hyundai-inster-02,Hyundai,Inster,02,2024,2024,2026,current,crossover,city-car,EV,electric,23495,14.3,kwh_per_100km,49,0,7800,320,16,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
hyundai-i10-premium,Hyundai,i10,1.2 Premium,2024,2019,2026,current,hatchback,city-car,Petrol,petrol,17000,5.4,litres_per_100km,0,122,4400,360,7,0.41,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
hyundai-i20-premium,Hyundai,i20,1.0 T-GDi Premium,2024,2020,2026,current,hatchback,supermini,Petrol,petrol,21500,5.5,litres_per_100km,0,124,5100,420,12,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
kia-ev9-air,Kia,EV9,Air RWD,2024,2023,2026,current,suv,luxury-suv,EV,electric,65025,22.8,kwh_per_100km,99.8,0,13800,480,41,0.47,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
kia-ev3-air,Kia,EV3,Air Long Range,2024,2024,2026,current,crossover,supermini,EV,electric,35995,14.9,kwh_per_100km,81.4,0,10400,360,28,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
kia-picanto-2,Kia,Picanto,1.0 2,2024,2017,2026,current,hatchback,city-car,Petrol,petrol,15800,5.4,litres_per_100km,0,122,4400,360,8,0.41,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
kia-sportage-hev-3,Kia,Sportage,1.6 T-GDi HEV 3,2024,2021,2026,current,suv,crossover,Petrol Hybrid,petrol,35400,5.6,litres_per_100km,1.5,127,7400,580,24,0.41,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
nissan-ariya-evolve,Nissan,Ariya,Evolve 87kWh,2024,2022,2026,current,suv,crossover,EV,electric,51500,18.4,kwh_per_100km,87,0,12100,420,36,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
nissan-juke-tekna,Nissan,Juke,1.0 DIG-T Tekna,2024,2019,2026,current,crossover,supermini,Petrol,petrol,28000,5.9,litres_per_100km,0,134,5900,490,17,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
volkswagen-id7-pro,Volkswagen,ID.7,Pro Match,2024,2023,2026,current,fastback,executive,EV,electric,51545,14.5,kwh_per_100km,77,0,11500,410,38,0.47,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
volkswagen-id-buzz-life,Volkswagen,ID. Buzz,Pro Life,2024,2023,2026,current,mpv,family,EV,electric,60175,21,kwh_per_100km,77,0,12500,460,36,0.5,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
volkswagen-tiguan-tsi,Volkswagen,Tiguan,1.5 eTSI Life DSG,2024,2017,2026,current,suv,crossover,Petrol,petrol,36000,6.4,litres_per_100km,0,145,7200,580,22,0.43,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
volkswagen-t-roc-tsi,Volkswagen,T-Roc,1.0 TSI Style,2024,2018,2026,current,crossover,supermini,Petrol,petrol,28000,5.7,litres_per_100km,0,130,6000,480,17,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
volkswagen-t-cross-tsi,Volkswagen,T-Cross,1.0 TSI Match,2024,2019,2026,current,crossover,supermini,Petrol,petrol,24500,5.6,litres_per_100km,0,127,5700,470,14,0.42,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mini-cooper-se-classic,MINI,Cooper SE,Classic,2024,2024,2026,current,hatchback,supermini,EV,electric,30000,14.5,kwh_per_100km,40.7,0,8000,320,26,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mini-aceman-classic,MINI,Aceman,E Classic,2024,2024,2026,current,crossover,supermini,EV,electric,31800,15.5,kwh_per_100km,49.2,0,8500,330,28,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mini-countryman-e,MINI,Countryman,E Classic,2024,2024,2026,current,suv,crossover,EV,electric,41005,16.3,kwh_per_100km,64.6,0,10300,380,32,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
smart-1-pro,Smart,#1,Pro+,2024,2023,2026,current,crossover,supermini,EV,electric,33950,16.8,kwh_per_100km,66,0,9700,360,28,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
smart-3-pro,Smart,#3,Pro+,2024,2024,2026,current,suv-coupe,crossover,EV,electric,35950,16.3,kwh_per_100km,66,0,9800,360,30,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
subaru-forester-e-boxer,Subaru,Forester,2.0i e-Boxer XE Premium,2024,2019,2026,current,suv,crossover,Petrol,petrol,39000,8.1,litres_per_100km,0,184,8000,660,27,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
subaru-solterra-touring,Subaru,Solterra,Touring,2024,2023,2026,current,suv,crossover,EV,electric,53000,18.4,kwh_per_100km,71.4,0,12000,440,36,0.5,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mitsubishi-asx-design,Mitsubishi,ASX,1.3 Mild Hybrid Design,2024,2023,2026,current,crossover,supermini,Petrol,petrol,26100,5.8,litres_per_100km,0,132,5800,460,16,0.43,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
land-rover-defender-110-d250,Land Rover,Defender,110 D250 X-Dynamic SE,2024,2020,2026,current,suv,luxury-suv,Diesel,diesel,75000,8.5,litres_per_100km,0,224,11000,950,45,0.45,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
range-rover-sport-p440e,Land Rover,Range Rover Sport,P440e Autobiography PHEV,2024,2022,2026,current,suv,luxury-suv,Petrol Hybrid,petrol,105000,1.5,litres_per_100km,31.8,35,14500,1100,50,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
land-rover-discovery-sport-d200,Land Rover,Discovery Sport,D200 R-Dynamic SE,2024,2019,2026,current,suv,crossover,Diesel,diesel,50000,6.5,litres_per_100km,0,171,8800,850,36,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
jeep-avenger-summit,Jeep,Avenger,Summit,2024,2023,2026,current,suv,supermini,EV,electric,35400,15.7,kwh_per_100km,54,0,8800,360,26,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
jeep-wrangler-4xe,Jeep,Wrangler,4xe Sahara,2024,2021,2026,current,suv,luxury-suv,Petrol Hybrid,petrol,70000,3.5,litres_per_100km,17.3,80,12000,880,40,0.47,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
alfa-romeo-tonale-veloce-phev,Alfa Romeo,Tonale,Veloce PHEV Q4,2024,2022,2026,current,suv,crossover,Petrol Hybrid,petrol,50500,1.5,litres_per_100km,15.5,35,8200,660,32,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
alfa-romeo-junior-elettrica,Alfa Romeo,Junior,Elettrica Speciale,2024,2024,2026,current,crossover,supermini,EV,electric,33895,15.5,kwh_per_100km,54,0,8800,380,30,0.47,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
lotus-eletre-r,Lotus,Eletre,R,2024,2023,2026,current,suv-coupe,luxury-suv,EV,electric,120000,21.5,kwh_per_100km,112,0,16200,720,50,0.51,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
maserati-grecale-folgore,Maserati,Grecale,Folgore,2024,2024,2026,current,suv,luxury-suv,EV,electric,110000,23,kwh_per_100km,105,0,16000,850,50,0.55,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
alpine-a290-gt-performance,Alpine,A290,GT Performance,2024,2024,2026,current,hatchback,hot-hatch,EV,electric,37500,14.6,kwh_per_100km,52,0,8400,380,32,0.45,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
ineos-grenadier-fieldmaster,Ineos,Grenadier,Station Wagon Fieldmaster,2024,2022,2026,current,suv,luxury-suv,Petrol,petrol,75000,11.5,litres_per_100km,0,263,12000,1050,45,0.43,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mini-cooper-c,MINI,Cooper,C Classic,2024,2024,2026,current,hatchback,supermini,Petrol,petrol,23800,5.7,litres_per_100km,0,130,5500,500,18,0.43,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
